2023-01-16 08:37:23,680 INFO    MainThread:2328 [wandb_setup.py:_flush():68] Configure stats pid to 2328
2023-01-16 08:37:23,681 INFO    MainThread:2328 [wandb_setup.py:_flush():68] Loading settings from /home/bialekm/.config/wandb/settings
2023-01-16 08:37:23,681 INFO    MainThread:2328 [wandb_setup.py:_flush():68] Loading settings from /home/bialekm/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/demo/wandb/settings
2023-01-16 08:37:23,681 INFO    MainThread:2328 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-16 08:37:23,681 INFO    MainThread:2328 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-01-16 08:37:23,681 INFO    MainThread:2328 [wandb_init.py:_log_setup():478] Logging user logs to /home/bialekm/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/demo/wandb/run-20230116_083723-apnt91vf/logs/debug.log
2023-01-16 08:37:23,681 INFO    MainThread:2328 [wandb_init.py:_log_setup():479] Logging internal logs to /home/bialekm/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/demo/wandb/run-20230116_083723-apnt91vf/logs/debug-internal.log
2023-01-16 08:37:23,682 INFO    MainThread:2328 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f8e415a5360>
2023-01-16 08:37:23,682 INFO    MainThread:2328 [wandb_init.py:init():518] calling init triggers
2023-01-16 08:37:23,682 INFO    MainThread:2328 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-01-16 08:37:23,683 INFO    MainThread:2328 [wandb_init.py:init():571] starting backend
2023-01-16 08:37:23,683 INFO    MainThread:2328 [wandb_init.py:init():575] setting up manager
2023-01-16 08:37:23,688 INFO    MainThread:2328 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-16 08:37:23,696 INFO    MainThread:2328 [wandb_init.py:init():582] backend started and connected
2023-01-16 08:37:23,731 INFO    MainThread:2328 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-01-16 08:37:23,731 INFO    MainThread:2328 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-01-16 08:37:23,731 INFO    MainThread:2328 [wandb_init.py:init():670] updated telemetry
2023-01-16 08:37:23,740 INFO    MainThread:2328 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-16 08:37:25,426 INFO    MainThread:2328 [wandb_run.py:_on_init():2121] communicating current version
2023-01-16 08:37:25,725 INFO    MainThread:2328 [wandb_run.py:_on_init():2125] got version response 
2023-01-16 08:37:25,725 INFO    MainThread:2328 [wandb_init.py:init():758] starting run threads in backend
2023-01-16 08:37:28,659 INFO    MainThread:2328 [wandb_run.py:_console_start():2101] atexit reg
2023-01-16 08:37:28,660 INFO    MainThread:2328 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-16 08:37:28,661 INFO    MainThread:2328 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-16 08:37:28,661 INFO    MainThread:2328 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-16 08:37:28,663 INFO    MainThread:2328 [wandb_init.py:init():798] run started, returning control to user process
2023-01-16 08:37:29,047 INFO    MainThread:2328 [wandb_run.py:_finish():1844] finishing run bialymt92/Demo 1/apnt91vf
2023-01-16 08:37:29,047 INFO    MainThread:2328 [jupyter.py:save_history():449] not saving jupyter history
2023-01-16 08:37:29,047 INFO    MainThread:2328 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-01-16 08:37:29,047 INFO    MainThread:2328 [wandb_init.py:_jupyter_teardown():410] cleaning up jupyter logic
2023-01-16 08:37:29,047 INFO    MainThread:2328 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2023-01-16 08:37:29,048 INFO    MainThread:2328 [wandb_run.py:_restore():2053] restore
2023-01-16 08:37:29,048 INFO    MainThread:2328 [wandb_run.py:_restore():2059] restore done
2023-01-16 08:37:34,273 INFO    MainThread:2328 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2023-01-16 08:37:34,273 INFO    MainThread:2328 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2023-01-16 08:37:34,276 INFO    MainThread:2328 [wandb_run.py:_footer_sync_info():3383] logging synced files
